iter	Logloss
0	0.6835640128
1	0.6745444614
2	0.6655413875
3	0.6568266455
4	0.6486692732
5	0.6404949502
6	0.632662953
7	0.6251674795
8	0.6178122388
9	0.6106969247
10	0.6039034477
11	0.5972078736
12	0.5907954836
13	0.5845032931
14	0.5785464079
15	0.5725341726
16	0.5668571563
17	0.5614040118
18	0.5560787806
19	0.550912338
20	0.5459865589
21	0.5408877134
22	0.5360622665
23	0.5315249467
24	0.5271258895
25	0.5227529097
26	0.5183277838
27	0.5142689598
28	0.5103083229
29	0.5064677499
30	0.5028516133
31	0.4991884967
32	0.4954574703
33	0.4919321174
34	0.4884699617
35	0.4853754189
36	0.4819396385
37	0.4787586733
38	0.4755846762
39	0.4725886561
40	0.4695747489
41	0.4668760257
42	0.4640151748
43	0.4613646902
44	0.4587463863
45	0.4560629755
46	0.4535230175
47	0.4510147042
48	0.4487639241
49	0.4463771869
50	0.4441794274
51	0.4420848158
52	0.4400528963
53	0.438079156
54	0.4359570887
55	0.4339591053
56	0.4321143712
57	0.4301248156
58	0.4281698823
59	0.4264058117
60	0.4245344164
61	0.4229608645
62	0.421339813
63	0.4196472589
64	0.4179375983
65	0.4164015563
66	0.4149128694
67	0.4133523546
68	0.4117788533
69	0.4104008476
70	0.408941615
71	0.40760035
72	0.4062250468
73	0.4049797812
74	0.4035734633
75	0.4022555322
76	0.4010668201
77	0.3998877661
78	0.3987453377
79	0.3974458099
80	0.3961794469
81	0.3950068872
82	0.3938067633
83	0.3926290695
84	0.3915957937
85	0.3905834658
86	0.3895976184
87	0.3884282662
88	0.3874935184
89	0.3864632723
90	0.3854656981
91	0.3845112646
92	0.3836430152
93	0.382791167
94	0.3819475839
95	0.3810399844
96	0.3802565062
97	0.3794628752
98	0.3786600672
99	0.3777681674
100	0.3770355783
101	0.3762235972
102	0.3755022765
103	0.3747033451
104	0.373843634
105	0.3730544496
106	0.3723959755
107	0.37165575
108	0.3709144588
109	0.3703177973
110	0.3696093392
111	0.3689212423
112	0.3683565391
113	0.3676816482
114	0.3670252473
115	0.366422916
116	0.3657520142
117	0.3651128321
118	0.3645069628
119	0.3639117455
120	0.3633148253
121	0.3626342813
122	0.3620281453
123	0.3614570363
124	0.3608890541
125	0.3604033496
126	0.3598623816
127	0.3594305991
128	0.3589420054
129	0.3584340987
130	0.3580024997
131	0.3574957371
132	0.3569740554
133	0.3564837583
134	0.3560808055
135	0.3556103845
136	0.3551526227
137	0.3546619179
138	0.3541143096
139	0.3537033933
140	0.3532608308
141	0.3528298327
142	0.3524928656
143	0.3520143098
144	0.3516003971
145	0.3512422703
146	0.3508277777
147	0.3504291073
148	0.3500578971
149	0.3497395543
150	0.3494818478
151	0.3490917216
152	0.3487225376
153	0.3484744223
154	0.3481078377
155	0.3477493077
156	0.3474648715
157	0.3470647146
158	0.3466982743
159	0.3463915388
160	0.3460414107
161	0.3457053102
162	0.3453894748
163	0.3450642379
164	0.3448425858
165	0.3445587003
166	0.3442441086
167	0.3439556324
168	0.3437524439
169	0.3435334948
170	0.3432241867
171	0.3429229278
172	0.3426286575
173	0.3423227932
174	0.3421388593
175	0.3418566298
176	0.3415696241
177	0.341214074
178	0.3409446261
179	0.3406562165
180	0.3403935315
181	0.3401238145
182	0.3399239139
183	0.3396683651
184	0.339470023
185	0.3392185944
186	0.3389721974
187	0.33868598
188	0.3384010534
189	0.3381631287
190	0.3379148355
191	0.3376847993
192	0.3374756549
193	0.3372159589
194	0.3369539746
195	0.3367176304
196	0.3365659156
197	0.3363762768
198	0.3361345388
199	0.3359864767
200	0.3357913741
201	0.3356479141
202	0.3354260574
203	0.3352679911
204	0.335058053
205	0.3348320549
206	0.3346568256
207	0.3344251027
208	0.3342760988
209	0.3341225658
210	0.3339725111
211	0.3337632134
212	0.3335595742
213	0.3334151922
214	0.3331998916
215	0.3330146884
216	0.3328770821
217	0.3327639905
218	0.3325668352
219	0.3324382958
220	0.3322548831
221	0.3320602925
222	0.3318554453
223	0.331687583
224	0.3315708377
225	0.3314099933
226	0.331309711
227	0.3311606424
228	0.3310443917
229	0.3308804843
230	0.3306910414
231	0.3305138771
232	0.3303603463
233	0.3302233247
234	0.3301189444
235	0.3300196046
236	0.3299254415
237	0.3297779644
238	0.3296138107
239	0.3295077172
240	0.3293339592
241	0.3291865515
242	0.329100001
243	0.3289813309
244	0.3288405903
245	0.3286925102
246	0.3285531248
247	0.3284069753
248	0.3282633723
249	0.3281734738
250	0.3280955644
251	0.3279643894
252	0.3278659202
253	0.3277297233
254	0.3275939269
255	0.327447448
256	0.3273026045
257	0.3271988458
258	0.3271080523
259	0.3269956524
260	0.3268941305
261	0.3267519329
262	0.3266598504
263	0.3265669327
264	0.3264892349
265	0.3263539223
266	0.3262266851
267	0.3261367966
268	0.3260164432
269	0.3259305087
270	0.3258510985
271	0.3257518542
272	0.3256208715
273	0.3254874045
274	0.3254119193
275	0.3252961013
276	0.3252034067
277	0.3251204889
278	0.3250345031
279	0.3249134316
280	0.3247707689
281	0.3246885806
282	0.3246058245
283	0.3245369028
284	0.3244197229
